12/19/22,"Office Space","G"
12/20/22,"Kodachrome","O" 
12/22/22,"Where the Crawdads Sing","G"
12/22/22,"The Curious Case of Benjamin Button","G"
12/23/22,"Snowpiercer","G"
12/24/22,"One Cut of the Dead","G"
12/26/22,"Side Effects","O"
12/28/22,"Knives Out","G"
12/31/22,"Glass Onion","G"
12/31/22,"Project X","G"
